run_id,robot,arm_id,step_idx,time_s,target_x,target_y,target_z,meas_x,meas_y,meas_z,dt
20260317_132824,kuka,kuka_main,1,0,550,0,650,550,9.16476096e-16,650,0.03
20260317_132824,kuka,kuka_main,2,0.03,550.009405436783,0.0189730362693494,649.985891844825,550,9.16476096e-16,650,0.03
20260317_132824,kuka,kuka_main,3,0.06,550.072327558153,0.145902143171146,649.89150866277,550,9.16476096e-16,650,0.03
20260317_132824,kuka,kuka_main,4,0.09,550.234472505541,0.472987640488778,649.648291241688,550,9.16476096e-16,650,0.03
20260317_132824,kuka,kuka_main,5,0.12,550.533446597847,1.07609055082883,649.19983010323,550.234,0.473,649.648,0.03
20260317_132824,kuka,kuka_main,6,0.15,550.999219178438,2.01566627374547,648.501171232343,550.234,0.473,649.648,0.03
20260317_132824,kuka,kuka_main,7,0.18,551.654585462155,3.33769825986485,647.518121806767,550.234,0.473,649.648,0.03
20260317_132824,kuka,kuka_main,8,0.21,552.515629382312,5.07463168500947,646.226555926531,550.234,0.473,649.648,0.03
20260317_132824,kuka,kuka_main,9,0.24,553.592186437698,7.2463071243226,644.611720343452,550.234,0.473,649.648,0.03
20260317_132824,kuka,kuka_main,10,0.27,554.888306539579,9.86089422639264,642.667540190631,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,11,0.3,556.4027168587,12.9158253873775,640.39592471195,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,12,0.33,558.129284672286,16.3987294251291,637.806072991571,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,13,0.36,560.057480211046,20.2883652533175,634.913779683431,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,14,0.39,562.172839506173,24.5555555555556,631.740740740741,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,15,0.42,564.457427236345,29.1641204595233,628.313859145483,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,16,0.45,566.890299574729,34.0718112110921,624.664550637906,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,17,0.48,569.447967035983,39.2312438484491,620.828049446025,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,18,0.51,572.104857323255,44.590832876222,616.842714015117,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,19,0.54,574.833778175188,50.095724939603,612.749332737218,554.888,9.861,642.668,0.03
20260317_132824,kuka,kuka_main,20,0.57,577.606380212918,55.6887324984731,608.590429680623,577.513672,55.4925423,608.736145,0.03
20260317_132824,kuka,kuka_main,21,0.6,580.393619787082,61.3112675015269,604.409570319377,577.513672,55.4925423,608.736145,0.03
20260317_132824,kuka,kuka_main,22,0.63,583.166221824812,66.9042750603971,600.250667262782,577.513672,55.4925423,608.736145,0.03
20260317_132824,kuka,kuka_main,23,0.66,585.895142676745,72.409167123778,596.157285984883,577.513672,55.4925423,608.736145,0.03
20260317_132824,kuka,kuka_main,24,0.69,588.552032964017,77.7687561515509,592.171950553975,577.513672,55.4925423,608.736145,0.03
20260317_132824,kuka,kuka_main,25,0.72,591.109700425271,82.9281887889079,588.335449362094,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,26,0.75,593.542572763655,87.8358795404768,584.686140854517,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,27,0.78,595.827160493827,92.4444444444444,581.259259259259,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,28,0.81,597.942519788954,96.7116347466825,578.086220316569,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,29,0.84,599.870715327714,100.601270574871,575.193927008429,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,30,0.87,601.5972831413,104.084174612623,572.60407528805,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,31,0.9,603.111693460421,107.139105773607,570.332459809369,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,32,0.93,604.407813562302,109.753692875677,568.388279656548,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,33,0.96,605.484370617688,111.925368314991,566.773444073469,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,34,0.99,606.345414537845,113.662301740135,565.481878193233,583.166,66.904,600.251,0.03
20260317_132824,kuka,kuka_main,35,1.02,607.000780821562,114.984333726255,564.498828767657,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,36,1.05,607.466553402153,115.923909449171,563.80016989677,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,37,1.08,607.765527494459,116.527012359511,563.351708758312,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,38,1.11,607.927672441847,116.854097856829,563.10849133723,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,39,1.14,607.990594563217,116.981026963731,563.014108155175,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,40,1.17,608,117,563,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,41,1.2,608,117,562.951351189053,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,42,1.23,608,117,562.625891940587,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,43,1.26,608,117,561.787211178234,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,44,1.29,608,117,560.240793459413,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,45,1.32,608,117,557.831624939114,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,46,1.35,608,117,554.44179933368,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,47,1.38,608,117,549.988123884591,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,48,1.41,608,117,544.41972532225,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,49,1.44,608,117,537.715655829762,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,50,1.47,608,117,529.882499006724,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,51,1.5,608,117,520.951975833002,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,52,1.53,608,117,510.978550632519,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,53,1.56,608,117,500.037037037037,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,54,1.59,608,117,488.22020394994,603.112,107.139,570.332,0.03
20260317_132824,kuka,kuka_main,55,1.62,608,117,475.63638151002,608,117,510.979,0.03
20260317_132824,kuka,kuka_main,56,1.65,608,117,462.407067055259,608,117,510.979,0.03
20260317_132824,kuka,kuka_main,57,1.68,608,117,448.66453108661,608,117,510.979,0.03
20260317_132824,kuka,kuka_main,58,1.71,608,117,434.549423231787,608,117,510.979,0.03
20260317_132824,kuka,kuka_main,59,1.74,608,117,420.208378209043,608,117,510.979,0.03
20260317_132824,kuka,kuka_main,60,1.77,608,117,405.791621790957,608,117,462.407,0.03
20260317_132824,kuka,kuka_main,61,1.8,608,117,391.450576768213,608,117,462.407,0.03
20260317_132824,kuka,kuka_main,62,1.83,608,117,377.33546891339,608,117,462.407,0.03
20260317_132824,kuka,kuka_main,63,1.86,608,117,363.592932944741,608,117,462.407,0.03
20260317_132824,kuka,kuka_main,64,1.89,608,117,350.36361848998,608,117,462.407,0.03
20260317_132824,kuka,kuka_main,65,1.92,608,117,337.77979605006,608,117,391.451,0.03
20260317_132824,kuka,kuka_main,66,1.95,608,117,325.962962962963,608,117,391.451,0.03
20260317_132824,kuka,kuka_main,67,1.98,608,117,315.021449367481,608,117,391.451,0.03
20260317_132824,kuka,kuka_main,68,2.01,608,117,305.048024166998,608,117,391.451,0.03
20260317_132824,kuka,kuka_main,69,2.04,608,117,296.117500993275,608,117,391.451,0.03
20260317_132824,kuka,kuka_main,70,2.07,608,117,288.284344170237,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,71,2.1,608,117,281.58027467775,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,72,2.13,608,117,276.011876115409,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,73,2.16,608,117,271.55820066632,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,74,2.19,608,117,268.168375060886,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,75,2.22,608,117,265.759206540587,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,76,2.25,608,117,264.212788821766,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,77,2.28,608,117,263.374108059413,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,78,2.31,608,117,263.048648810947,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,79,2.34,608,117,263,608,117,325.963,0.03
20260317_132824,kuka,kuka_main,80,2.37,608,117,263.048648810947,608,117,264.213,0.03
20260317_132824,kuka,kuka_main,81,2.4,608,117,263.374108059413,608,117,264.213,0.03
20260317_132824,kuka,kuka_main,82,2.43,608,117,264.212788821766,608,117,264.213,0.03
20260317_132824,kuka,kuka_main,83,2.46,608,117,265.759206540587,608,117,264.213,0.03
20260317_132824,kuka,kuka_main,84,2.49,608,117,268.168375060886,608,117,264.213,0.03
20260317_132824,kuka,kuka_main,85,2.52,608,117,271.55820066632,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,86,2.55,608,117,276.011876115409,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,87,2.58,608,117,281.58027467775,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,88,2.61,608,117,288.284344170238,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,89,2.64,608,117,296.117500993276,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,90,2.67,608,117,305.048024166998,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,91,2.7,608,117,315.021449367481,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,92,2.73,608,117,325.962962962963,608,117,271.558,0.03
20260317_132824,kuka,kuka_main,93,2.76,608,117,337.77979605006,608,117,271.558,0.03
