run_id,robot,arm_id,step_idx,time_s,target_x,target_y,target_z,meas_x,meas_y,meas_z,dt
20260412_194451,kuka,kuka_main,1,0.0003259,550,0,650,550,-4.67453767e-16,650,0.03
20260412_194451,kuka,kuka_main,2,0.2836173,550.010216250299,-0.0285406357556025,649.990108075107,550,-1.32157834e-06,650,0.03
20260412_194451,kuka,kuka_main,3,0.3363981,550.078562692477,-0.219476728189075,649.923931361253,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,4,0.406967,550.254685652571,-0.711502775436111,649.753399606241,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,5,0.6210466,550.579433373523,-1.61873450381089,649.438961336747,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,6,0.8827858,551.085358762786,-3.03211336905302,648.949097070953,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,7,0.9417075,551.797222139927,-5.02081105757448,648.259832531182,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,8,1.1387902,552.732493984236,-7.63363398770656,647.354251856534,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,9,1.1895191,553.901857682328,-10.9004278109468,646.222010815524,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,10,1.2428769,555.30971227575,-14.833481913206,644.858850018718,550.005615,-0.0163555,649.994385,0.03
20260412_194451,kuka,kuka_main,11,1.6914204,556.954675208588,-19.428933916055,643.266108131367,553.902,-10.9,646.222,0.03
20260412_194451,kuka,kuka_main,12,1.7436568,558.83008507507,-24.6681741779719,641.450235086044,553.915344,-10.9363079,646.209412,0.03
20260412_194451,kuka,kuka_main,13,1.7979219,560.924504367171,-30.5192502955887,639.422305295279,556.939575,-19.3846245,643.281372,0.03
20260412_194451,kuka,kuka_main,14,2.0625525,563.222222222222,-36.9382716049383,637.197530864198,556.955,-19.4289875,643.266,0.03
20260412_194451,kuka,kuka_main,15,2.1209254,565.703757170513,-43.8708136827017,634.794774803154,556.955,-19.429,643.266,0.03
